variant,n_obs,n_days,oos_r2,mse,mae,rmse,ic,rank_ic,top1_mean_y,top1_win_rate,top3_mean_y,top3_win_rate,top5_mean_y,top5_win_rate,top10_mean_y,top10_win_rate,best_val_mse,test_mse_daily_mean,epochs_run,use_graphmix,use_gate,use_rank_loss
graphmix_full,634055,211,0.018364129377457,1.7288295030593872,0.6338164806365967,1.3148496123357178,0.1527142536314282,0.1284528574260848,2.264503494268934,0.5829383886255924,1.3846670186491374,0.5339652448657187,0.9726088619658556,0.4947867298578198,0.5511782942891509,0.4582938388625592,2.577905142560918,1.7288295284831694,9,True,True,True
no_rank,634055,211,0.0197505103763794,1.7263877391815186,0.6333240270614624,1.3139207507233908,0.1543090445624965,0.1292133840892748,2.127826295508087,0.5687203791469194,1.499589831201951,0.5276461295418642,1.0130140678868829,0.4834123222748814,0.6167061105635353,0.4582938388625593,2.575189618354148,1.7263878790123204,9,True,True,False
no_gate,634055,211,0.0195193955792136,1.7267951965332031,0.6323350071907043,1.3140757955815194,0.153849336905408,0.1241133896286486,2.149577911713677,0.5781990521327014,1.3025478692592884,0.4881516587677725,0.983971193428394,0.4758293838862559,0.5603734304625276,0.466350710900474,2.5778997003609407,1.726794931560896,9,True,False,True
