date,buy_date,model,K,stock,rank_after_filter,y_pred_model,y_pred_real,y_pred_zero,y_true,close_ret,ret_gross,buy_cost,sell_cost,ret_net
2025-01-02,2024-12-31,RealGraph,5,603959.SH,1,1.0941519737243652,1.0941519737243652,1.811766266822815,4.932735443115234,0.0494117647058823,0.04932735443115235,0.0001,0.0011,0.04812735443115235
2025-01-02,2024-12-31,RealGraph,5,600167.SH,2,0.0960951298475265,0.0960951298475265,0.066610611975193,0.0,-0.0171232876712328,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-02,2024-12-31,RealGraph,5,600847.SH,3,0.0873167812824249,0.0873167812824249,0.0244054459035396,2.0987653732299805,-0.0181378476420798,0.020987653732299806,0.0001,0.0011,0.019787653732299806
2025-01-02,2024-12-31,RealGraph,5,605138.SH,4,0.0708807036280632,0.0708807036280632,0.0616154298186302,0.0,-0.0143112701252236,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-02,2024-12-31,RealGraph,5,002691.SZ,5,0.070800594985485,0.070800594985485,0.055547297000885,0.197628453373909,-0.0268714011516314,0.00197628453373909,0.0001,0.0011,0.0007762845337390897
2025-01-03,2025-01-02,RealGraph,5,603959.SH,1,4.063520431518555,4.063520431518555,5.519803524017334,4.914529800415039,0.0493273542600896,0.04914529800415039,0.0001,0.0011,0.04794529800415039
2025-01-03,2025-01-02,RealGraph,5,603181.SH,2,0.0908117741346359,0.0908117741346359,0.0548843964934349,0.4424778819084167,-0.02081526452732,0.004424778819084167,0.0001,0.0011,0.0032247788190841666
2025-01-03,2025-01-02,RealGraph,5,002144.SZ,3,0.0853898748755455,0.0853898748755455,0.0487044304609298,0.4926108419895172,-0.0192122958693563,0.004926108419895172,0.0001,0.0011,0.0037261084198951717
2025-01-03,2025-01-02,RealGraph,5,002691.SZ,4,0.0853026658296585,0.0853026658296585,0.0422234162688255,0.0,-0.0079051383399209,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-03,2025-01-02,RealGraph,5,603188.SH,5,0.0839757844805717,0.0839757844805717,0.0095534166321158,0.5813953280448914,-0.0028818443804035,0.005813953280448913,0.0001,0.0011,0.004613953280448913
2025-01-06,2025-01-03,RealGraph,5,603959.SH,1,4.779519081115723,4.779519081115723,5.478883266448975,5.091649532318115,0.0491452991452992,0.050916495323181155,0.0001,0.0011,0.049716495323181155
2025-01-06,2025-01-03,RealGraph,5,002052.SZ,2,0.349256694316864,0.349256694316864,-0.1294329166412353,2.898550748825073,0.0507614213197969,0.02898550748825073,0.0001,0.0011,0.02778550748825073
2025-01-06,2025-01-03,RealGraph,5,603515.SH,3,0.1286702305078506,0.1286702305078506,0.077228732407093,1.1131725311279297,-0.0079316656497863,0.011131725311279296,0.0001,0.0011,0.009931725311279296
2025-01-06,2025-01-03,RealGraph,5,600167.SH,4,0.0935349613428115,0.0935349613428115,0.0598323866724967,-0.3649635016918182,-0.0071556350626118,-0.0036496350169181817,0.0001,0.0011,-0.004849635016918182
