date,buy_date,model,K,stock,rank_after_filter,y_pred_model,y_pred_real,y_pred_zero,y_true,close_ret,ret_gross,buy_cost,sell_cost,ret_net
2025-01-02,2024-12-31,ZeroGraph,10,603959.SH,1,1.811766266822815,1.0941519737243652,1.811766266822815,4.932735443115234,0.0494117647058823,0.04932735443115235,0.0001,0.0011,0.04812735443115235
2025-01-02,2024-12-31,ZeroGraph,10,600167.SH,2,0.066610611975193,0.0960951298475265,0.066610611975193,0.0,-0.0171232876712328,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-02,2024-12-31,ZeroGraph,10,605138.SH,3,0.0616154298186302,0.0708807036280632,0.0616154298186302,0.0,-0.0143112701252236,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-02,2024-12-31,ZeroGraph,10,001256.SZ,4,0.0566269606351852,0.0412702932953834,0.0566269606351852,0.0,-0.0191950464396284,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-02,2024-12-31,ZeroGraph,10,002691.SZ,5,0.055547297000885,0.070800594985485,0.055547297000885,0.197628453373909,-0.0268714011516314,0.00197628453373909,0.0001,0.0011,0.0007762845337390897
2025-01-02,2024-12-31,ZeroGraph,10,603700.SH,6,0.0529411658644676,0.050433337688446,0.0529411658644676,-0.1998001933097839,-0.0108695652173912,-0.001998001933097839,0.0001,0.0011,-0.0031980019330978392
2025-01-02,2024-12-31,ZeroGraph,10,001368.SZ,7,0.0528709813952446,0.0221482366323471,0.0528709813952446,0.5832449793815613,-0.0187499999999999,0.005832449793815613,0.0001,0.0011,0.0046324497938156125
2025-01-02,2024-12-31,ZeroGraph,10,603788.SH,8,0.0524484813213348,0.0110889999195933,0.0524484813213348,-0.7230657935142517,-0.0198863636363635,-0.007230657935142517,0.0001,0.0011,-0.008430657935142517
2025-01-02,2024-12-31,ZeroGraph,10,603926.SH,9,0.0506554953753948,0.0577656626701355,0.0506554953753948,-0.3389830589294433,-0.0253303964757709,-0.003389830589294433,0.0001,0.0011,-0.004589830589294433
2025-01-02,2024-12-31,ZeroGraph,10,601339.SH,10,0.0472568199038505,0.0171274468302726,0.0472568199038505,0.0,-0.0073126142595978,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-03,2025-01-02,ZeroGraph,10,603959.SH,1,5.519803524017334,4.063520431518555,5.519803524017334,4.914529800415039,0.0493273542600896,0.04914529800415039,0.0001,0.0011,0.04794529800415039
2025-01-03,2025-01-02,ZeroGraph,10,603700.SH,2,0.0612756758928298,0.074168175458908,0.0612756758928298,0.6103764176368713,-0.0159840159840159,0.006103764176368713,0.0001,0.0011,0.004903764176368713
2025-01-03,2025-01-02,ZeroGraph,10,600167.SH,3,0.0564152598381042,0.0617644861340522,0.0564152598381042,0.0,-0.0157068062827226,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-03,2025-01-02,ZeroGraph,10,603303.SH,4,0.055746205151081,0.0705393701791763,0.055746205151081,-0.0861326456069946,-0.0152931180968563,-0.0008613264560699461,0.0001,0.0011,-0.002061326456069946
2025-01-03,2025-01-02,ZeroGraph,10,603181.SH,5,0.0548843964934349,0.0908117741346359,0.0548843964934349,0.4424778819084167,-0.02081526452732,0.004424778819084167,0.0001,0.0011,0.0032247788190841666
2025-01-03,2025-01-02,ZeroGraph,10,605138.SH,6,0.0543829500675201,0.0378565266728401,0.0543829500675201,-0.7207207083702087,0.0054347826086956,-0.007207207083702087,0.0001,0.0011,-0.008407207083702087
2025-01-03,2025-01-02,ZeroGraph,10,603788.SH,7,0.054333746433258,0.0627336055040359,0.054333746433258,0.2976190447807312,-0.0238611713665943,0.002976190447807312,0.0001,0.0011,0.001776190447807312
2025-01-03,2025-01-02,ZeroGraph,10,603968.SH,8,0.0494124442338943,0.0784881114959716,0.0494124442338943,0.0,-0.0161812297734628,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-03,2025-01-02,ZeroGraph,10,002144.SZ,9,0.0487044304609298,0.0853898748755455,0.0487044304609298,0.4926108419895172,-0.0192122958693563,0.004926108419895172,0.0001,0.0011,0.0037261084198951717
2025-01-03,2025-01-02,ZeroGraph,10,603926.SH,10,0.0486532300710678,0.0711609274148941,0.0486532300710678,-0.2285714298486709,-0.0112994350282485,-0.002285714298486709,0.0001,0.0011,-0.0034857142984867093
2025-01-06,2025-01-03,ZeroGraph,10,603959.SH,1,5.478883266448975,4.779519081115723,5.478883266448975,5.091649532318115,0.0491452991452992,0.050916495323181155,0.0001,0.0011,0.049716495323181155
2025-01-06,2025-01-03,ZeroGraph,10,603303.SH,2,0.0958060324192047,0.0915208309888839,0.0958060324192047,-0.1762114465236663,-0.0155038759689922,-0.001762114465236663,0.0001,0.0011,-0.002962114465236663
2025-01-06,2025-01-03,ZeroGraph,10,603515.SH,3,0.077228732407093,0.1286702305078506,0.077228732407093,1.1131725311279297,-0.0079316656497863,0.011131725311279296,0.0001,0.0011,0.009931725311279296
2025-01-06,2025-01-03,ZeroGraph,10,603788.SH,4,0.0767767950892448,0.0792868137359619,0.0767767950892448,-0.3091190159320831,-0.0282738095238094,-0.0030911901593208306,0.0001,0.0011,-0.004291190159320831
2025-01-06,2025-01-03,ZeroGraph,10,600167.SH,5,0.0598323866724967,0.0935349613428115,0.0598323866724967,-0.3649635016918182,-0.0071556350626118,-0.0036496350169181817,0.0001,0.0011,-0.004849635016918182
2025-01-06,2025-01-03,ZeroGraph,10,002691.SZ,6,0.0528315976262092,0.0628700852394104,0.0528315976262092,-0.6437768340110779,-0.0504032258064516,-0.006437768340110779,0.0001,0.0011,-0.0076377683401107795
2025-01-06,2025-01-03,ZeroGraph,10,603878.SH,7,0.0478850156068801,0.0857622250914573,0.0478850156068801,0.0,-0.019434628975265,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-06,2025-01-03,ZeroGraph,10,002677.SZ,8,0.0464753992855548,0.0492456778883934,0.0464753992855548,0.0,-0.0218878248974007,0.0,0.0001,0.0011,-0.0012000000000000001
2025-01-06,2025-01-03,ZeroGraph,10,605151.SH,9,0.0432015061378479,0.051223024725914,0.0432015061378479,0.2693602740764618,-0.0348387096774193,0.002693602740764618,0.0001,0.0011,0.0014936027407646177
