variant,month,n_obs,r2,mse,rank_ic,ic
graphmix_full,2025-01,54090,0.05146738301040488,1.6345118284225464,0.15773493858573176,0.21882460929099687
graphmix_full,2025-02,54090,0.0259769355481394,1.4112184047698975,0.12620920987360484,0.1712025747305823
graphmix_full,2025-03,63105,0.028906028802057504,1.2664319276809692,0.1310744804443289,0.19136768914287444
graphmix_full,2025-04,63105,-0.02590373242186117,4.131106853485107,0.14263739398025435,0.19172743924292077
graphmix_full,2025-05,57095,0.015694079594700705,1.5885144472122192,0.13270117380511898,0.1492044753051033
graphmix_full,2025-06,60100,0.013325579789977726,1.7266616821289062,0.13597983010410447,0.13091149557759632
graphmix_full,2025-07,69115,0.021478141051829547,1.3920520544052124,0.1416715999501854,0.14767856070086505
graphmix_full,2025-08,63105,0.007606954451946701,1.1251846551895142,0.13127023048126182,0.11133814737612958
graphmix_full,2025-09,66110,0.016644477595369023,1.1363424062728882,0.0967414984413347,0.12115598818182308
graphmix_full,2025-10,51085,0.0017466474255509734,2.1581857204437256,0.0685234312784128,0.11558258332446673
graphmix_full,2025-11,33055,0.013747726858083897,1.3238009214401245,0.15412336735791807,0.12173290162342686
