model,month,n_obs,n_days,r2,mse,mae,rmse,ic,rank_ic
MLP,2025-05,58102,19,-0.006291095500954524,1.6042948961257935,0.6080922484397888,1.2666076330599754,0.13213515080990426,0.07639623569614871
MLP,2025-06,61160,20,-0.006141842504229222,1.7731446027755737,0.5728746652603149,1.3315947592175232,0.09825948471093851,0.09094082979668884
MLP,2025-07,70334,23,-0.0010810221253922947,1.4311413764953613,0.5177942514419556,1.1963032126076405,0.11825514460200859,0.10817351149142226
MLP,2025-08,64218,21,-0.026941785492585524,1.1555007696151733,0.5153404474258423,1.07494221687269,0.08929435514888405,0.09960688436142166
MLP,2025-09,67276,22,-0.011477632631702539,1.1637510061264038,0.5342473983764648,1.0787729168487703,0.09071966829777985,0.04768837080310479
MLP,2025-10,51986,17,-0.01504902722301793,2.185460329055786,0.7920076847076416,1.478330250335082,0.07917439426229207,0.029817921460850938
MLP,2025-11,33638,11,-0.005457563037247759,1.356119155883789,0.5912712812423706,1.1645252920756117,0.09819386361846165,0.10238098825287793
Transformer,2025-01,55044,18,0.02508257089270627,1.6723322868347168,0.7011930346488953,1.2931868723563182,0.17548437314417775,0.11614512977585353
Transformer,2025-02,55044,18,4.910182237904959e-05,1.4304111003875732,0.5849773287773132,1.1959979516652917,0.15122712652027437,0.1317555729850357
Transformer,2025-03,64218,21,0.01315925500212023,1.2826968431472778,0.579695463180542,1.1325620703287207,0.16793450542629723,0.13258118080584957
Transformer,2025-04,64218,21,-0.013580372570723753,4.07041072845459,1.1072930097579956,2.017525892883308,0.16603722569907986,0.10742347241907384
Transformer,2025-05,58102,19,-0.007858796449079275,1.6067941188812256,0.6080193519592285,1.26759383040516,0.15137389788933273,0.09901586121331862
Transformer,2025-06,61160,20,0.0007686672383010462,1.7609659433364868,0.5676476955413818,1.3270139197975608,0.1184190955618194,0.13481986792848982
Transformer,2025-07,70334,23,0.005007798391661988,1.4224368333816528,0.5101780295372009,1.192659563069719,0.13882027478505085,0.14371376240404893
Transformer,2025-08,64218,21,-0.02647859316766432,1.1549794673919678,0.5093894004821777,1.0746997103339926,0.09381002110384674,0.12550609856402004
Transformer,2025-09,67276,22,-0.01241000182564811,1.1648236513137817,0.5311597585678101,1.0792699622030542,0.1049865390615417,0.08226631079517172
Transformer,2025-10,51986,17,-0.005744789411627149,2.1654276847839355,0.7838542461395264,1.4715392229852169,0.10636910953213037,0.05194555029914672
Transformer,2025-11,33638,11,0.015744824354268272,1.3275220394134521,0.582231879234314,1.1521814264313812,0.16003233583511609,0.16439930882690226
GCN-LSTM,2025-01,54090,18,0.04194983957775289,1.6509123597567297,0.6923386909266733,1.2848783443411014,0.2008777664022403,0.15629761821918042
GCN-LSTM,2025-02,54090,18,0.03311442991176772,1.4008772511187946,0.5760245154163137,1.1835866048239962,0.19758659787315422,0.14360356468875837
GCN-LSTM,2025-03,63105,21,0.025457737461558216,1.2709289290937187,0.5761059711105707,1.1273548372600877,0.17979505587786693,0.13259442285505607
GCN-LSTM,2025-04,63105,21,-0.014600148539457125,4.085589435192606,1.1069287594432256,2.0212841055112976,0.17875719054707057,0.1445420468873296
GCN-LSTM,2025-05,57095,19,0.011599580543895538,1.5951222956345725,0.5955602914123346,1.262981510408831,0.15368744849145424,0.13026127863709408
GCN-LSTM,2025-06,60100,20,0.013408261861475812,1.7265170519854978,0.5625040773203348,1.3139699585551785,0.13071896738101246,0.14311073587226447
GCN-LSTM,2025-07,69115,23,0.02315371221603213,1.3896684883985482,0.500966166822523,1.1788420116362277,0.15372979536045675,0.1723389683154653
GCN-LSTM,2025-08,63105,21,0.0004741698482383372,1.13327193770981,0.5030331603976892,1.0645524588811064,0.11400956642447764,0.12873155086532667
GCN-LSTM,2025-09,66110,22,0.011113079941785675,1.142734298558027,0.5168031084955983,1.0689875109457674,0.11996232832250553,0.09525639744898662
GCN-LSTM,2025-10,51085,17,0.004705469653841776,2.151788607940384,0.7749975172263011,1.4668976133119802,0.11595763383803745,0.0720235653162607
GCN-LSTM,2025-11,33055,11,0.021462298018310788,1.3134458816098808,0.5740167578716651,1.1460566659680842,0.14297244929602448,0.1909324274037978
ZeroGraph,2025-01,54394,18,0.2047459070287988,1.380436297678697,0.6773540439720425,1.1749196983958934,0.48465991157201443,0.20165312879991298
ZeroGraph,2025-02,54478,18,0.20331929724125042,1.1514753796743462,0.5605357461431998,1.0730682083047407,0.4775545335419231,0.19960745433557245
ZeroGraph,2025-03,63569,21,0.18068558297628812,1.0757130500788468,0.5623246185893537,1.0371658739463263,0.44405201151432,0.18951947659177815
ZeroGraph,2025-04,63699,21,0.11520175650892095,3.580939742436407,1.0655933267387794,1.8923371112030771,0.4199700180997965,0.21472456429345732
ZeroGraph,2025-05,57671,19,0.1361760415501312,1.3874295477720995,0.5845524219845267,1.1778919932540928,0.4163366392644492,0.18051934301181446
ZeroGraph,2025-06,60768,20,0.12623206472308546,1.5497509190184608,0.5510994618020195,1.244889922450359,0.36612866835920743,0.17911176976850438
ZeroGraph,2025-07,69953,23,0.18029936428634585,1.178223020631084,0.4895482986358154,1.0854598199063308,0.43307531796184945,0.216488719814443
ZeroGraph,2025-08,63957,21,0.13988594410406296,0.9717341848377812,0.49659896650899643,0.9857657859947165,0.41419794118275033,0.1804598770819756
ZeroGraph,2025-09,67036,22,0.13572073111856053,0.9979525079371987,0.5109756264233268,0.9989757294034719,0.38972953549537814,0.14883113263402512
ZeroGraph,2025-10,51819,17,0.051768739628260674,2.048140304301929,0.7792517665322464,1.4311325250660503,0.3035712037895026,0.10602387407022569
ZeroGraph,2025-11,33580,11,0.17945692617027587,1.1086135576182496,0.559889777216291,1.0529071932598093,0.4440983076125206,0.2246763931983648
Proposed Graph-2,2025-01,54394,18,0.22923276058442366,1.337930962889617,0.6689848095684602,1.1566896571205334,0.4955165984405662,0.20663714592605587
Proposed Graph-2,2025-02,54478,18,0.22573883822930385,1.1190714951796559,0.5564932548984466,1.0578617561759456,0.5003529627081895,0.19529643505150823
Proposed Graph-2,2025-03,63569,21,0.19530592094474908,1.0565173810872421,0.55952279886007,1.0278703133602225,0.46221276286962365,0.19313627539232653
Proposed Graph-2,2025-04,63699,21,0.110077876467779,3.601677018770056,1.067454838668585,1.8978084778949789,0.4244544831806579,0.20949775889451136
Proposed Graph-2,2025-05,57671,19,0.1555831011509935,1.3562589282700321,0.5762234385856536,1.164585303131562,0.4314366608033681,0.177205945830041
Proposed Graph-2,2025-06,60768,20,0.13608805049862116,1.532269935342139,0.5426824176786869,1.2378489145861618,0.3739528798930902,0.18150139450738922
Proposed Graph-2,2025-07,69953,23,0.20168651353483547,1.1474815151443833,0.48164132096287987,1.0712056362549551,0.44942732657695744,0.2242274302800257
Proposed Graph-2,2025-08,63957,21,0.17842538639529526,0.9281933389670979,0.48454016668728356,0.9634279106228436,0.4429518265801879,0.2034661395176395
Proposed Graph-2,2025-09,67036,22,0.1460365627354283,0.9860411843590751,0.5120025761145528,0.9929960646241631,0.40519667992015745,0.15638488275657328
Proposed Graph-2,2025-10,51819,17,0.06470362343889269,2.0202014902476106,0.7755249431290109,1.421337922609402,0.329375179171778,0.11888196924354186
Proposed Graph-2,2025-11,33580,11,0.20338646598340715,1.076283003488305,0.5522319061569027,1.0374406023904719,0.46375867154777256,0.23026519682814628
