Model,Category,N_obs,N_days,OOS_R2_all,Weighted_monthly_R2,MSE,MAE,RMSE,IC,IC_SE,RankIC,RankIC_SE,Top1_mean_y,Top1_win_rate,Top3_mean_y,Top3_win_rate,Top5_mean_y,Top5_win_rate,Top10_mean_y,Top10_win_rate,Delta_R2_vs_ZeroGraph,Pct_R2_vs_ZeroGraph,Delta_R2_vs_best_baseline,Best_baseline_reference
Ridge,Regularized linear model,645238,211,0.0058580883614044454,-0.0019967483611789795,1.7454058790159803,0.6449619247628295,1.321138099903254,0.0783242616258404,0.00485644468395194,0.06381190861518374,0.004673237145004259,1.9482257712667728,0.5213270142180095,1.2698601589276637,0.46445497630331756,0.9220726520167355,0.43886255924170614,0.5623291292215666,0.4080568720379147,-0.1437666554458643,-0.960848131048764,-0.1437666554458643,ZeroGraph
LightGBM,Tree ensemble model,645238,211,0.01582889821156752,0.007713844039647733,1.7279002191828279,0.637595485473228,1.3144961845447967,0.13937775144602466,0.006616589726606409,0.11232687686665781,0.005758812154780247,2.3459880284576617,0.5639810426540285,1.533745175549734,0.5007898894154817,1.2067689861588056,0.4691943127962086,0.7157358782833786,0.43033175355450237,-0.13379584559570123,-0.8942093546241477,-0.13379584559570123,ZeroGraph
MLP,Neural network,645238,211,-0.00018164718384250378,-0.006812682607950707,1.756009787577687,0.6460193215956458,1.3251451949041988,0.1141335415370013,0.006014160612461722,0.08393815618555363,0.0058071693737066785,1.8197963209602082,0.5355450236966824,0.8830077670474858,0.4518167456556082,0.6714191924321566,0.43696682464454983,0.31132003704695055,0.3966824644549763,-0.14980639099111126,-1.0012140183449636,-0.14980639099111126,ZeroGraph
Transformer,Temporal deep model,645238,211,0.006548694079047013,-0.0015581830976934474,1.7441933888618648,0.641374433535071,1.3206791392544461,0.13829341468033235,0.00641518066783011,0.11621980703248809,0.0072011539908015815,1.730420553306409,0.5260663507109005,1.3746219147702952,0.47709320695102686,1.0926644125714968,0.46066350710900467,0.6858693119491587,0.4412322274881516,-0.14307604972822174,-0.9562325460855434,-0.14307604972822174,ZeroGraph
GCN-LSTM,Graph neural network,634055,211,0.01996991017727401,0.015027404997899448,1.7260014920785949,0.6335768855955102,1.3137737598531167,0.15331531151488734,0.0071106637645823294,0.1357475026711211,0.007501113824277983,2.281354286236967,0.6018957345971564,1.2980687918609797,0.4865718799368088,1.1062790582625592,0.4786729857819905,0.7750720564829383,0.471563981042654,-0.12965483362999475,-0.8665333709576993,-0.12965483362999475,ZeroGraph
ZeroGraph,No-graph temporal backbone,640924,211,0.14962474380726876,0.14967141851965232,1.503016789475239,0.6204272275738748,1.2259758519135844,0.41694797561219854,0.007185341100392847,0.185028186466357,0.007801714761801288,7.614151102565758,0.909952606635071,6.806620103182009,0.8736176935229069,6.290078317614104,0.852132701421801,5.085605999648184,0.7928909952606635,0.0,0.0,0.0,ZeroGraph
Proposed Graph-2,Graph-as-Regularizer,640924,211,0.16295759144299182,0.1668353850976767,1.4794513179941813,0.6150715011773364,1.2163269782398898,0.4335350032298695,0.007281877239027578,0.19010169634001786,0.007538612124248368,7.804661218023978,0.909952606635071,6.932894639235349,0.8815165876777251,6.36829000391172,0.856872037914692,5.265511194679234,0.7985781990521327,0.013332847635723066,0.0891085745342834,0.013332847635723066,ZeroGraph
