date,n_obs,mse_candidate,mse_baseline,loss_diff,Candidate,Baseline,Comparison
2025-03-03,3024,1.3107366982992172,1.2170705835851148,-0.09366611471410251,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-04,3025,1.0462267462058263,1.089927812714126,0.043701066508299746,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-05,3026,0.8204999436020262,0.8448674227757103,0.02436747917368411,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-06,3026,1.0139578312340565,1.046938107122742,0.03298027588868543,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-07,3027,0.7983821147295795,0.7587089551322951,-0.039673159597284596,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-10,3027,1.4604648397584215,1.482370610786737,0.021905771028315403,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-11,3027,1.8293507162828433,1.7058619781244375,-0.12348873815840597,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-12,3028,1.0441784076126435,1.252358392633516,0.20817998502087248,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-13,3028,0.7113829190953177,0.7290983556471387,0.017715436551820993,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-14,3028,1.2406631860348525,1.2685623211260877,0.02789913509123514,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-17,3028,1.198295840772075,1.3008482728233997,0.10255243205132467,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-18,3029,0.9161860020977335,0.9330051931688286,0.01681919107109496,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-19,3026,0.6764481466060114,0.6815711415307832,0.005122994924771937,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-20,3026,0.6964912660404123,0.7078189141621988,0.011327648121786351,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-21,3027,1.0704697307050117,1.075187860392921,0.004718129687909333,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-24,3028,0.889379904769196,0.9256770061021967,0.036297101333000785,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-25,3028,0.8380700996893031,0.8494352200516148,0.011365120362311677,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-26,3028,0.9969093653082096,1.0149070658488326,0.017997700540622927,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-27,3028,0.9378489703573744,0.9193515570921433,-0.018497413265231015,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-28,3027,0.9486503894881225,0.9655091093952161,0.016858719907093585,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-03-31,3028,1.7422433910642554,1.8206724588614196,0.07842906779716433,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-01,3028,1.0559309255377984,1.0652926576887427,0.009361732150944196,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-02,3029,0.8838769318631702,0.8972422753955103,0.013365343532340104,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
2025-04-03,3029,2.0033745696078364,2.026180820198326,0.02280625059048926,Proposed Graph-2,ZeroGraph,Proposed Graph-2 vs ZeroGraph
