month,model,n_obs,r2,mse,mae,rank_ic
2025-01,gcn_lstm,54090,0.04194974899291992,1.6509124040603638,0.6923387050628662,0.15629761821918042
2025-02,gcn_lstm,54090,0.03311437368392944,1.4008773565292358,0.5760245323181152,0.14360356468875837
2025-03,gcn_lstm,63105,0.025457799434661865,1.2709288597106934,0.5761059522628784,0.13259442285505607
2025-04,gcn_lstm,63105,-0.014600157737731934,4.085589408874512,1.1069287061691284,0.1445420468873296
2025-05,gcn_lstm,57095,0.011599481105804443,1.5951223373413086,0.5955602526664734,0.13026127863709408
2025-06,gcn_lstm,60100,0.013408422470092773,1.726516842842102,0.5625041127204895,0.14311073587226447
2025-07,gcn_lstm,69115,0.02315378189086914,1.3896684646606445,0.5009661912918091,0.1723389683154653
2025-08,gcn_lstm,63105,0.0004742145538330078,1.1332719326019287,0.5030332207679749,0.12873155086532667
2025-09,gcn_lstm,66110,0.011112987995147705,1.1427342891693115,0.5168031454086304,0.09525639744898662
2025-10,gcn_lstm,51085,0.004705369472503662,2.1517887115478516,0.7749974727630615,0.0720235653162607
2025-11,gcn_lstm,33055,0.02146238088607788,1.3134459257125854,0.5740167498588562,0.1909324274037978
